08199|AUD|25.41|18.92|125.83|2016-07-02
08199|HKD|371788.14|47916.05|318622.43|2016-07-02
08199|USD|0.00|0.00|0.00|2016-07-02
08111|AUD|47729.85|35546.90|236372.53|2016-07-02
08111|CAD|24831.03|19159.12|127400.56|2016-07-02
08111|EUR|0.00|0.00|0.00|2016-07-02
08111|HKD|23990892.48|3091946.22|20560194.85|2016-07-02
08111|USD|563105.08|563105.08|3744423.53|2016-07-02
08167|AUD|5762.76|4291.82|28538.91|2016-07-02
08167|EUR|1451.10|1610.40|10708.53|2016-07-02
08167|HKD|2940047.24|378913.28|2519620.48|2016-07-02
08167|USD|49976.96|49976.96|332326.79|2016-07-02
08200|HKD|2744063.34|353654.88|2351662.28|2016-07-02
08202|HKD|921960.97|118822.32|790120.55|2016-07-02
08168|HKD|1410399.75|181772.31|1208712.58|2016-07-02
08168|USD|7815.36|7815.36|51969.01|2016-07-02
08169|HKD|1998427.91|257557.38|1712652.71|2016-07-02
08169|USD|2.71|2.71|18.02|2016-07-02
08170|HKD|505269.87|65119.18|433016.27|2016-07-02
08170|USD|3661.34|3661.34|24346.44|2016-07-02
08171|HKD|110034.34|14181.22|94299.42|2016-07-02
08171|USD|87.09|87.09|579.11|2016-07-02
08172|CAD|6163.52|4755.64|31623.17|2016-07-02
08172|HKD|3946984.21|508687.32|3382565.46|2016-07-02
08172|USD|1500.01|1500.01|9974.46|2016-07-02
08173|HKD|1143497.68|147373.98|979977.51|2016-07-02
08173|USD|13244.19|13244.19|88068.56|2016-07-02
08201|HKD|79680.04|10269.16|68285.79|2016-07-02
08201|USD|1446.73|1446.73|9620.17|2016-07-02
08112|AUD|5762.76|4291.82|28538.91|2016-07-02
08112|CAD|6163.52|4755.64|31623.17|2016-07-02
08112|EUR|1451.10|1610.40|10708.53|2016-07-02
08112|HKD|12057115.36|1553921.02|10332947.86|2016-07-02
08112|USD|78629.03|78629.03|522851.59|2016-07-02
08174|AUD|13971.98|10405.66|69193.43|2016-07-02
08174|CAD|15032.60|11598.85|77127.76|2016-07-02
08174|HKD|740686.85|95459.72|634768.63|2016-07-02
08174|USD|70597.47|70597.47|469444.93|2016-07-02
08175|HKD|500489.46|64503.08|428919.46|2016-07-02
08175|USD|5738.73|5738.73|38160.25|2016-07-02
08176|HKD|3388864.57|436756.86|2904256.93|2016-07-02
08176|USD|27791.43|27791.43|184801.89|2016-07-02
08177|HKD|1112103.98|143327.96|953073.11|2016-07-02
08177|USD|8784.60|8784.60|58414.07|2016-07-02
08178|HKD|1118603.32|144165.59|958643.04|2016-07-02
08178|USD|51737.30|51737.30|344032.35|2016-07-02
08179|HKD|787888.72|101543.09|675220.63|2016-07-02
08179|USD|3771.81|3771.81|25081.02|2016-07-02
08113|AUD|13971.98|10405.66|69193.43|2016-07-02
08113|CAD|15032.60|11598.85|77127.76|2016-07-02
08113|HKD|7666846.22|988103.14|6570487.21|2016-07-02
08113|USD|178186.08|178186.08|1184866.15|2016-07-02
08180|EUR|2212.26|2455.12|16325.59|2016-07-02
08180|HKD|2893565.46|372922.71|2479785.59|2016-07-02
08180|USD|6856.84|6856.84|45595.24|2016-07-02
08181|HKD|2419448.85|311818.56|2073467.66|2016-07-02
08182|HKD|2283263.35|294266.98|1956756.69|2016-07-02
08203|EUR|305.00|338.48|2250.77|2016-07-02
08203|HKD|6107858.64|787180.82|5234434.85|2016-07-02
08183|HKD|667387.97|86012.96|571951.49|2016-07-02
08184|HKD|4894997.96|630867.33|4195013.25|2016-07-02
08184|USD|25.85|25.85|171.89|2016-07-02
08185|HKD|5227269.95|673690.55|4479770.34|2016-07-02
08185|USD|900.60|900.60|5988.62|2016-07-02
08186|HKD|2858158.62|368359.48|2449441.93|2016-07-02
08186|USD|866.65|866.65|5762.87|2016-07-02
08114|EUR|2517.26|2793.60|18576.37|2016-07-02
08114|HKD|27351950.82|3525119.42|23440621.85|2016-07-02
08114|USD|8649.96|8649.96|57518.77|2016-07-02
08127|AUD|1127.55|839.74|5583.96|2016-07-02
08127|CAD|0.00|0.00|0.00|2016-07-02
08127|HKD|254007.09|32736.43|217684.07|2016-07-02
08127|USD|24570.74|24570.74|163385.59|2016-07-02
08208|AUD|1127.55|839.74|5583.96|2016-07-02
08208|CAD|0.00|0.00|0.00|2016-07-02
08208|HKD|128004.00|16497.15|109699.42|2016-07-02
08208|USD|24570.74|24570.74|163385.59|2016-07-02
08115|HKD|3583586.16|461852.58|3071133.33|2016-07-02
08115|USD|48862.14|48862.14|324913.68|2016-07-02
08116|AUD|6974.93|5194.59|34541.94|2016-07-02
08116|CAD|8706.38|6717.66|44669.82|2016-07-02
08116|HKD|4339153.84|559230.14|3718654.84|2016-07-02
08116|USD|82439.90|82439.90|548192.35|2016-07-02
08121|HKD|2744063.34|353654.88|2351662.28|2016-07-02
08117|AUD|1076.08|801.41|5329.07|2016-07-02
08117|CAD|16828.44|12984.48|86341.67|2016-07-02
08117|HKD|7127102.51|918540.97|6107926.85|2016-07-02
08117|USD|27977.92|27977.92|186041.97|2016-07-02
08122|HKD|1001641.02|129091.49|858406.35|2016-07-02
08122|USD|1446.73|1446.73|9620.17|2016-07-02
08119|AUD|3522.31|2623.24|17443.53|2016-07-02
08119|CAD|4945.99|3816.22|25376.39|2016-07-02
08119|HKD|8884351.05|1145015.16|7613888.84|2016-07-02
08119|USD|141970.22|141970.22|944045.17|2016-07-02
08212|HKD|126003.08|16239.27|107984.63|2016-07-02
08125|AUD|59508.65|44319.18|294704.68|2016-07-02
08125|CAD|149267.75|115172.01|765848.04|2016-07-02
08125|EUR|9.80|10.87|72.32|2016-07-02
08125|HKD|428727.07|55254.34|367419.09|2016-07-02
08125|USD|58568.75|58568.75|389458.76|2016-07-02
08206|AUD|59508.65|44319.18|294704.68|2016-07-02
08206|CAD|146746.00|113226.27|752909.70|2016-07-02
08206|EUR|9.80|10.87|72.32|2016-07-02
08206|HKD|230928.65|29762.08|197905.85|2016-07-02
08206|USD|56368.60|56368.60|374828.64|2016-07-02
08211|CAD|2521.75|1945.73|12938.34|2016-07-02
08211|HKD|197798.42|25492.26|169513.24|2016-07-02
08211|USD|2200.14|2200.14|14630.05|2016-07-02
